"Accession","Group ID"
"scer|YBL039W-B","OG7_0155986"
"scer|YBL040C","OG7_0004183"
"scer|YBL041W","OG7_0007295"
"scer|YBL042C","OG7_0011734"
"scer|YBL043W","OG7_0036294"
"scer|YBL044W","OG7_0155718"
"scer|YBL045C","OG7_0001878"
"scer|YBL046W","OG7_0008147"
"scer|YBL047C","OG7_0001721"
"scer|YBL049W","OG7_0003654"
"scer|YBL050W","OG7_0005444"
"scer|YBL051C","OG7_0018863"
"scer|YBL052C","OG7_0002440"
"scer|YBL054W","OG7_0053568"
"scer|YBL055C","OG7_0002527"
"scer|YBL056W","OG7_0000783"
"scer|YBL057C","OG7_0005002"
"scer|YBL058W","OG7_0005644"
"scer|YBL059C-A","OG7_0009323"
"scer|YBL059W","OG7_0101615"
"scer|YBL060W","OG7_0001170"
"scer|YBL061C","OG7_0004212"
"scer|YBL063W","OG7_0000136"
"scer|YBL064C","OG7_0001521"
"scer|YBL066C","OG7_0028306"
"scer|YBL067C","OG7_0001828"
"scer|YBL068W","OG7_0002319"
"scer|YBL069W","OG7_0001074"
"scer|YBL071C-B","OG7_0155694"
"scer|YBL071W-A","OG7_0005982"
"scer|YBL072C","OG7_0005073"
"scer|YBL074C","OG7_0008863"
"scer|YBL075C","OG7_0000779"
"scer|YBL076C","OG7_0003029"
"scer|YBL078C","OG7_0002923"
"scer|YBL079W","OG7_0006587"
"scer|YBL080C","OG7_0005283"
"scer|YBL081W","OG7_0155504"
"scer|YBL082C","OG7_0008238"
"scer|YBL084C","OG7_0003813"
"scer|YBL085W","OG7_0004569"
"scer|YBL086C","OG7_0007138"
"scer|YBL087C","OG7_0003211"
"scer|YBL088C","OG7_0001934"
"scer|YBL089W","OG7_0001448"
"scer|YBL090W","OG7_0012034"
"scer|YBL091C","OG7_0005696"
"scer|YBL091C-A","OG7_0002921"
"scer|YBL092W","OG7_0004998"
"scer|YBL093C","OG7_0041041"
"scer|YBL095W","OG7_0007260"
"scer|YBL097W","OG7_0006779"
"scer|YBL098W","OG7_0006093"
"scer|YBL099W","OG7_0004945"
